,Run,Gen,PC,Score,Score4
0,91.0,1.0,0.0,0.694,0.77
1,91.0,1.0,1.0,0.634,0.765
2,91.0,1.0,2.0,0.55,0.635
3,91.0,2.0,0.0,0.776,0.85
4,91.0,2.0,1.0,0.592,0.725
5,91.0,2.0,2.0,0.556,0.61
6,91.0,3.0,0.0,0.804,0.865
7,91.0,3.0,1.0,0.544,0.655
8,91.0,3.0,2.0,0.564,0.635
9,91.0,4.0,0.0,0.81,0.895
10,91.0,4.0,1.0,0.534,0.63
11,91.0,4.0,2.0,0.546,0.59
12,91.0,5.0,0.0,0.812,0.9
13,91.0,5.0,1.0,0.528,0.62
14,91.0,5.0,2.0,0.544,0.59
15,91.0,6.0,0.0,0.82,0.905
16,91.0,6.0,1.0,0.516,0.59
17,91.0,6.0,2.0,0.536,0.59
18,91.0,7.0,0.0,0.832,0.915
19,91.0,7.0,1.0,0.516,0.585
20,91.0,7.0,2.0,0.54,0.6
21,91.0,8.0,0.0,0.816,0.925
22,91.0,8.0,1.0,0.52,0.56
23,91.0,8.0,2.0,0.536,0.61
24,91.0,9.0,0.0,0.798,0.95
25,91.0,9.0,1.0,0.538,0.58
26,91.0,9.0,2.0,0.562,0.655
27,91.0,10.0,0.0,0.794,0.93
28,91.0,10.0,1.0,0.578,0.63
29,91.0,10.0,2.0,0.57,0.645
30,91.0,11.0,0.0,0.786,0.905
31,91.0,11.0,1.0,0.606,0.67
32,91.0,11.0,2.0,0.566,0.64
33,91.0,12.0,0.0,0.778,0.91
34,91.0,12.0,1.0,0.614,0.71
35,91.0,12.0,2.0,0.57,0.65
36,91.0,13.0,0.0,0.78,0.91
37,91.0,13.0,1.0,0.62,0.7
38,91.0,13.0,2.0,0.584,0.66
39,91.0,14.0,0.0,0.76,0.875
40,91.0,14.0,1.0,0.6,0.69
41,91.0,14.0,2.0,0.584,0.645
42,91.0,15.0,0.0,0.744,0.84
43,91.0,15.0,1.0,0.604,0.685
44,91.0,15.0,2.0,0.592,0.645
45,91.0,16.0,0.0,0.738,0.835
46,91.0,16.0,1.0,0.618,0.7
47,91.0,16.0,2.0,0.606,0.665
48,91.0,17.0,0.0,0.732,0.835
49,91.0,17.0,1.0,0.616,0.695
50,91.0,17.0,2.0,0.596,0.645
51,91.0,18.0,0.0,0.726,0.845
52,91.0,18.0,1.0,0.598,0.67
53,91.0,18.0,2.0,0.59,0.64
54,91.0,19.0,0.0,0.718,0.84
55,91.0,19.0,1.0,0.586,0.65
56,91.0,19.0,2.0,0.602,0.65
57,91.0,20.0,0.0,0.718,0.85
58,91.0,20.0,1.0,0.594,0.665
59,91.0,20.0,2.0,0.594,0.66
60,91.0,21.0,0.0,0.712,0.845
61,91.0,21.0,1.0,0.604,0.675
62,91.0,21.0,2.0,0.6,0.66
63,91.0,22.0,0.0,0.72,0.86
64,91.0,22.0,1.0,0.608,0.675
65,91.0,22.0,2.0,0.604,0.665
66,91.0,23.0,0.0,0.71,0.86
67,91.0,23.0,1.0,0.602,0.685
68,91.0,23.0,2.0,0.598,0.665
69,91.0,24.0,0.0,0.72,0.86
70,91.0,24.0,1.0,0.604,0.68
71,91.0,24.0,2.0,0.596,0.665
72,91.0,25.0,0.0,0.708,0.84
73,91.0,25.0,1.0,0.608,0.695
74,91.0,25.0,2.0,0.6,0.66
75,91.0,26.0,0.0,0.7,0.83
76,91.0,26.0,1.0,0.604,0.69
77,91.0,26.0,2.0,0.604,0.665
78,91.0,27.0,0.0,0.698,0.83
79,91.0,27.0,1.0,0.606,0.69
80,91.0,27.0,2.0,0.602,0.675
81,91.0,28.0,0.0,0.694,0.83
82,91.0,28.0,1.0,0.602,0.685
83,91.0,28.0,2.0,0.594,0.67
84,91.0,29.0,0.0,0.694,0.835
85,91.0,29.0,1.0,0.59,0.675
86,91.0,29.0,2.0,0.594,0.68
87,91.0,30.0,0.0,0.694,0.835
88,91.0,30.0,1.0,0.59,0.69
89,91.0,30.0,2.0,0.598,0.69
90,91.0,31.0,0.0,0.692,0.84
91,91.0,31.0,1.0,0.588,0.675
92,91.0,31.0,2.0,0.6,0.69
93,91.0,32.0,0.0,0.688,0.82
94,91.0,32.0,1.0,0.576,0.67
95,91.0,32.0,2.0,0.596,0.685
96,91.0,33.0,0.0,0.69,0.815
97,91.0,33.0,1.0,0.578,0.675
98,91.0,33.0,2.0,0.598,0.695
99,91.0,34.0,0.0,0.684,0.82
100,91.0,34.0,1.0,0.58,0.66
101,91.0,34.0,2.0,0.596,0.705
102,91.0,35.0,0.0,0.68,0.805
103,91.0,35.0,1.0,0.576,0.65
104,91.0,35.0,2.0,0.596,0.705
105,91.0,36.0,0.0,0.664,0.79
106,91.0,36.0,1.0,0.576,0.65
107,91.0,36.0,2.0,0.6,0.71
108,91.0,37.0,0.0,0.664,0.785
109,91.0,37.0,1.0,0.572,0.64
110,91.0,37.0,2.0,0.6,0.7
111,91.0,38.0,0.0,0.66,0.765
112,91.0,38.0,1.0,0.576,0.645
113,91.0,38.0,2.0,0.592,0.69
114,91.0,39.0,0.0,0.66,0.765
115,91.0,39.0,1.0,0.58,0.66
116,91.0,39.0,2.0,0.592,0.69
117,91.0,40.0,0.0,0.67,0.78
118,91.0,40.0,1.0,0.582,0.655
119,91.0,40.0,2.0,0.586,0.7
120,91.0,41.0,0.0,0.67,0.785
121,91.0,41.0,1.0,0.586,0.655
122,91.0,41.0,2.0,0.586,0.7
123,91.0,42.0,0.0,0.668,0.77
124,91.0,42.0,1.0,0.588,0.655
125,91.0,42.0,2.0,0.584,0.705
126,91.0,43.0,0.0,0.632,0.755
127,91.0,43.0,1.0,0.576,0.66
128,91.0,43.0,2.0,0.588,0.725
129,91.0,44.0,0.0,0.63,0.745
130,91.0,44.0,1.0,0.578,0.665
