,Run,Gen,PC,Score,Score4
0,1.0,1.0,0.0,0.662,1.0
1,1.0,1.0,1.0,0.798,0.885
2,1.0,1.0,2.0,0.61,0.54
3,1.0,2.0,0.0,0.676,1.0
4,1.0,2.0,1.0,0.768,0.835
5,1.0,2.0,2.0,0.576,0.565
6,1.0,3.0,0.0,0.682,0.98
7,1.0,3.0,1.0,0.714,0.71
8,1.0,3.0,2.0,0.554,0.59
9,1.0,4.0,0.0,0.672,0.93
10,1.0,4.0,1.0,0.6,0.615
11,1.0,4.0,2.0,0.592,0.64
12,1.0,5.0,0.0,0.668,0.815
13,1.0,5.0,1.0,0.612,0.66
14,1.0,5.0,2.0,0.548,0.71
15,1.0,6.0,0.0,0.682,0.825
16,1.0,6.0,1.0,0.566,0.645
17,1.0,6.0,2.0,0.566,0.66
18,1.0,7.0,0.0,0.72,0.85
19,1.0,7.0,1.0,0.572,0.67
20,1.0,7.0,2.0,0.528,0.695
21,1.0,8.0,0.0,0.672,0.835
22,1.0,8.0,1.0,0.596,0.695
23,1.0,8.0,2.0,0.58,0.675
24,1.0,9.0,0.0,0.664,0.76
25,1.0,9.0,1.0,0.604,0.725
26,1.0,9.0,2.0,0.584,0.64
27,1.0,10.0,0.0,0.718,0.8
28,1.0,10.0,1.0,0.61,0.795
29,1.0,10.0,2.0,0.602,0.69
30,1.0,11.0,0.0,0.684,0.725
31,1.0,11.0,1.0,0.648,0.79
32,1.0,11.0,2.0,0.552,0.58
33,1.0,12.0,0.0,0.692,0.675
34,1.0,12.0,1.0,0.696,0.88
35,1.0,12.0,2.0,0.556,0.62
36,1.0,13.0,0.0,0.688,0.69
37,1.0,13.0,1.0,0.66,0.845
38,1.0,13.0,2.0,0.552,0.66
39,1.0,14.0,0.0,0.618,0.705
40,1.0,14.0,1.0,0.634,0.785
41,1.0,14.0,2.0,0.586,0.595
42,1.0,15.0,0.0,0.668,0.665
43,1.0,15.0,1.0,0.692,0.83
44,1.0,15.0,2.0,0.584,0.57
45,1.0,16.0,0.0,0.618,0.655
46,1.0,16.0,1.0,0.662,0.8
47,1.0,16.0,2.0,0.538,0.54
48,1.0,17.0,0.0,0.632,0.68
49,1.0,17.0,1.0,0.664,0.795
50,1.0,17.0,2.0,0.596,0.6
51,1.0,18.0,0.0,0.634,0.655
52,1.0,18.0,1.0,0.666,0.82
53,1.0,18.0,2.0,0.57,0.67
54,1.0,19.0,0.0,0.658,0.65
55,1.0,19.0,1.0,0.678,0.835
56,1.0,19.0,2.0,0.566,0.59
57,1.0,20.0,0.0,0.646,0.64
58,1.0,20.0,1.0,0.638,0.765
59,1.0,20.0,2.0,0.562,0.66
60,1.0,21.0,0.0,0.59,0.585
61,1.0,21.0,1.0,0.674,0.79
62,1.0,21.0,2.0,0.554,0.62
63,1.0,22.0,0.0,0.59,0.63
64,1.0,22.0,1.0,0.67,0.735
65,1.0,22.0,2.0,0.574,0.6
66,1.0,23.0,0.0,0.586,0.64
67,1.0,23.0,1.0,0.674,0.74
68,1.0,23.0,2.0,0.542,0.59
69,1.0,24.0,0.0,0.586,0.7
70,1.0,24.0,1.0,0.666,0.7
71,1.0,24.0,2.0,0.578,0.645
72,1.0,25.0,0.0,0.58,0.645
73,1.0,25.0,1.0,0.752,0.805
74,1.0,25.0,2.0,0.544,0.605
75,1.0,26.0,0.0,0.584,0.655
76,1.0,26.0,1.0,0.72,0.81
77,1.0,26.0,2.0,0.596,0.63
78,1.0,27.0,0.0,0.582,0.725
79,1.0,27.0,1.0,0.77,0.81
80,1.0,27.0,2.0,0.518,0.6
81,1.0,28.0,0.0,0.56,0.605
82,1.0,28.0,1.0,0.744,0.745
83,1.0,28.0,2.0,0.516,0.56
84,1.0,29.0,0.0,0.6,0.74
85,1.0,29.0,1.0,0.792,0.84
86,1.0,29.0,2.0,0.548,0.585
87,1.0,30.0,0.0,0.626,0.735
88,1.0,30.0,1.0,0.794,0.75
89,1.0,30.0,2.0,0.518,0.6
90,1.0,31.0,0.0,0.62,0.74
91,1.0,31.0,1.0,0.708,0.68
92,1.0,31.0,2.0,0.52,0.615
93,1.0,32.0,0.0,0.656,0.725
94,1.0,32.0,1.0,0.684,0.685
95,1.0,32.0,2.0,0.52,0.64
96,1.0,33.0,0.0,0.652,0.765
97,1.0,33.0,1.0,0.644,0.7
98,1.0,33.0,2.0,0.548,0.61
99,1.0,34.0,0.0,0.63,0.77
100,1.0,34.0,1.0,0.642,0.71
101,1.0,34.0,2.0,0.558,0.65
102,1.0,35.0,0.0,0.582,0.775
103,1.0,35.0,1.0,0.65,0.695
104,1.0,35.0,2.0,0.602,0.665
105,1.0,36.0,0.0,0.65,0.82
106,1.0,36.0,1.0,0.63,0.69
107,1.0,36.0,2.0,0.57,0.635
108,1.0,37.0,0.0,0.656,0.74
109,1.0,37.0,1.0,0.624,0.69
110,1.0,37.0,2.0,0.552,0.65
111,1.0,38.0,0.0,0.612,0.725
112,1.0,38.0,1.0,0.556,0.605
113,1.0,38.0,2.0,0.572,0.64
114,1.0,39.0,0.0,0.606,0.67
115,1.0,39.0,1.0,0.578,0.645
116,1.0,39.0,2.0,0.582,0.67
117,1.0,40.0,0.0,0.568,0.665
118,1.0,40.0,1.0,0.592,0.65
119,1.0,40.0,2.0,0.572,0.665
120,1.0,41.0,0.0,0.578,0.67
121,1.0,41.0,1.0,0.566,0.615
122,1.0,41.0,2.0,0.546,0.645
123,1.0,42.0,0.0,0.66,0.715
124,1.0,42.0,1.0,0.556,0.62
125,1.0,42.0,2.0,0.544,0.65
126,1.0,43.0,0.0,0.656,0.72
127,1.0,43.0,1.0,0.532,0.605
128,1.0,43.0,2.0,0.548,0.66
129,1.0,44.0,0.0,0.622,0.69
130,1.0,44.0,1.0,0.578,0.71
131,1.0,44.0,2.0,0.526,0.635
132,1.0,45.0,0.0,0.64,0.72
133,1.0,45.0,1.0,0.58,0.675
134,1.0,45.0,2.0,0.556,0.65
135,1.0,46.0,0.0,0.662,0.765
136,1.0,46.0,1.0,0.582,0.75
137,1.0,46.0,2.0,0.558,0.685
138,1.0,47.0,0.0,0.684,0.795
139,1.0,47.0,1.0,0.556,0.7
140,1.0,47.0,2.0,0.548,0.645
141,1.0,48.0,0.0,0.664,0.775
142,1.0,48.0,1.0,0.536,0.725
143,1.0,48.0,2.0,0.564,0.685
144,1.0,49.0,0.0,0.672,0.785
145,1.0,49.0,1.0,0.548,0.755
146,1.0,49.0,2.0,0.54,0.715
147,1.0,50.0,0.0,0.646,0.765
148,1.0,50.0,1.0,0.514,0.745
149,1.0,50.0,2.0,0.574,0.76
150,1.0,51.0,0.0,0.636,0.805
151,1.0,51.0,1.0,0.552,0.69
152,1.0,51.0,2.0,0.54,0.64
153,1.0,52.0,0.0,0.638,0.74
154,1.0,52.0,1.0,0.546,0.7
155,1.0,52.0,2.0,0.562,0.66
156,1.0,53.0,0.0,0.624,0.7
157,1.0,53.0,1.0,0.54,0.705
158,1.0,53.0,2.0,0.564,0.665
159,1.0,54.0,0.0,0.688,0.82
160,1.0,54.0,1.0,0.52,0.72
161,1.0,54.0,2.0,0.576,0.785
162,1.0,55.0,0.0,0.672,0.82
163,1.0,55.0,1.0,0.556,0.765
164,1.0,55.0,2.0,0.556,0.685
165,1.0,56.0,0.0,0.624,0.715
166,1.0,56.0,1.0,0.548,0.755
167,1.0,56.0,2.0,0.56,0.68
168,1.0,57.0,0.0,0.648,0.825
169,1.0,57.0,1.0,0.56,0.735
170,1.0,57.0,2.0,0.564,0.585
171,1.0,58.0,0.0,0.642,0.785
172,1.0,58.0,1.0,0.558,0.675
173,1.0,58.0,2.0,0.562,0.615
174,1.0,59.0,0.0,0.668,0.835
175,1.0,59.0,1.0,0.552,0.67
176,1.0,59.0,2.0,0.576,0.61
177,1.0,60.0,0.0,0.646,0.825
178,1.0,60.0,1.0,0.558,0.7
179,1.0,60.0,2.0,0.574,0.63
180,1.0,61.0,0.0,0.654,0.815
181,1.0,61.0,1.0,0.574,0.67
182,1.0,61.0,2.0,0.63,0.6
183,1.0,62.0,0.0,0.646,0.79
184,1.0,62.0,1.0,0.578,0.665
185,1.0,62.0,2.0,0.61,0.605
186,1.0,63.0,0.0,0.586,0.69
187,1.0,63.0,1.0,0.554,0.655
188,1.0,63.0,2.0,0.586,0.575
189,1.0,64.0,0.0,0.652,0.765
190,1.0,64.0,1.0,0.572,0.68
191,1.0,64.0,2.0,0.588,0.6
192,1.0,65.0,0.0,0.7,0.82
193,1.0,65.0,1.0,0.588,0.755
194,1.0,65.0,2.0,0.568,0.65
195,1.0,66.0,0.0,0.69,0.75
196,1.0,66.0,1.0,0.626,0.775
197,1.0,66.0,2.0,0.57,0.585
198,1.0,67.0,0.0,0.708,0.73
199,1.0,67.0,1.0,0.656,0.825
200,1.0,67.0,2.0,0.584,0.605
201,1.0,68.0,0.0,0.742,0.725
202,1.0,68.0,1.0,0.666,0.875
203,1.0,68.0,2.0,0.538,0.605
204,1.0,69.0,0.0,0.768,0.79
205,1.0,69.0,1.0,0.664,0.895
206,1.0,69.0,2.0,0.548,0.635
207,1.0,70.0,0.0,0.732,0.74
208,1.0,70.0,1.0,0.656,0.83
209,1.0,70.0,2.0,0.568,0.6
210,1.0,71.0,0.0,0.738,0.745
211,1.0,71.0,1.0,0.666,0.83
212,1.0,71.0,2.0,0.598,0.565
213,1.0,72.0,0.0,0.71,0.725
214,1.0,72.0,1.0,0.67,0.8
215,1.0,72.0,2.0,0.598,0.54
216,1.0,73.0,0.0,0.676,0.74
217,1.0,73.0,1.0,0.62,0.75
218,1.0,73.0,2.0,0.56,0.57
219,1.0,74.0,0.0,0.714,0.73
220,1.0,74.0,1.0,0.622,0.75
221,1.0,74.0,2.0,0.546,0.61
222,1.0,75.0,0.0,0.7,0.755
223,1.0,75.0,1.0,0.596,0.745
224,1.0,75.0,2.0,0.564,0.625
225,1.0,76.0,0.0,0.734,0.79
226,1.0,76.0,1.0,0.598,0.765
227,1.0,76.0,2.0,0.586,0.635
228,1.0,77.0,0.0,0.726,0.805
229,1.0,77.0,1.0,0.626,0.775
230,1.0,77.0,2.0,0.586,0.54
231,1.0,78.0,0.0,0.762,0.82
232,1.0,78.0,1.0,0.634,0.815
233,1.0,78.0,2.0,0.578,0.54
234,1.0,79.0,0.0,0.764,0.84
235,1.0,79.0,1.0,0.648,0.865
236,1.0,79.0,2.0,0.592,0.505
237,1.0,80.0,0.0,0.742,0.845
238,1.0,80.0,1.0,0.63,0.86
239,1.0,80.0,2.0,0.582,0.56
240,1.0,81.0,0.0,0.72,0.875
241,1.0,81.0,1.0,0.604,0.855
242,1.0,81.0,2.0,0.568,0.465
243,1.0,82.0,0.0,0.726,0.865
244,1.0,82.0,1.0,0.622,0.905
