,Run,Gen,PC,Score,Score4
0,91.0,1.0,0.0,0.702,0.795
1,91.0,1.0,1.0,0.622,0.65
2,91.0,1.0,2.0,0.582,0.635
3,91.0,2.0,0.0,0.696,0.8
4,91.0,2.0,1.0,0.604,0.6
5,91.0,2.0,2.0,0.556,0.62
6,91.0,3.0,0.0,0.726,0.855
7,91.0,3.0,1.0,0.578,0.59
8,91.0,3.0,2.0,0.562,0.625
9,91.0,4.0,0.0,0.706,0.825
10,91.0,4.0,1.0,0.598,0.65
11,91.0,4.0,2.0,0.574,0.63
12,91.0,5.0,0.0,0.69,0.81
13,91.0,5.0,1.0,0.59,0.66
14,91.0,5.0,2.0,0.602,0.69
15,91.0,6.0,0.0,0.688,0.83
16,91.0,6.0,1.0,0.588,0.69
17,91.0,6.0,2.0,0.576,0.655
18,91.0,7.0,0.0,0.68,0.805
19,91.0,7.0,1.0,0.568,0.685
20,91.0,7.0,2.0,0.596,0.675
21,91.0,8.0,0.0,0.644,0.77
22,91.0,8.0,1.0,0.568,0.705
23,91.0,8.0,2.0,0.596,0.71
24,91.0,9.0,0.0,0.644,0.745
25,91.0,9.0,1.0,0.592,0.725
26,91.0,9.0,2.0,0.592,0.755
27,91.0,10.0,0.0,0.626,0.74
28,91.0,10.0,1.0,0.598,0.73
29,91.0,10.0,2.0,0.602,0.765
30,91.0,11.0,0.0,0.596,0.72
31,91.0,11.0,1.0,0.616,0.76
32,91.0,11.0,2.0,0.6,0.755
33,91.0,12.0,0.0,0.616,0.74
34,91.0,12.0,1.0,0.604,0.725
35,91.0,12.0,2.0,0.592,0.72
36,91.0,13.0,0.0,0.624,0.725
37,91.0,13.0,1.0,0.608,0.72
38,91.0,13.0,2.0,0.596,0.745
39,91.0,14.0,0.0,0.604,0.72
40,91.0,14.0,1.0,0.604,0.705
41,91.0,14.0,2.0,0.608,0.74
42,91.0,15.0,0.0,0.602,0.7
43,91.0,15.0,1.0,0.626,0.73
44,91.0,15.0,2.0,0.614,0.735
45,91.0,16.0,0.0,0.61,0.7
46,91.0,16.0,1.0,0.626,0.72
47,91.0,16.0,2.0,0.598,0.705
48,91.0,17.0,0.0,0.598,0.685
49,91.0,17.0,1.0,0.63,0.705
50,91.0,17.0,2.0,0.606,0.71
