,Run,Gen,PC,Score,Score4
0,91.0,1.0,0.0,0.644,0.715
1,91.0,1.0,1.0,0.572,0.745
2,91.0,1.0,2.0,0.58,0.675
3,91.0,2.0,0.0,0.692,0.825
4,91.0,2.0,1.0,0.6,0.78
5,91.0,2.0,2.0,0.576,0.68
6,91.0,3.0,0.0,0.762,0.93
7,91.0,3.0,1.0,0.57,0.81
8,91.0,3.0,2.0,0.494,0.585
9,91.0,4.0,0.0,0.796,0.955
10,91.0,4.0,1.0,0.564,0.805
11,91.0,4.0,2.0,0.524,0.585
12,91.0,5.0,0.0,0.8,0.98
13,91.0,5.0,1.0,0.532,0.81
14,91.0,5.0,2.0,0.544,0.605
15,91.0,6.0,0.0,0.842,0.995
16,91.0,6.0,1.0,0.554,0.745
17,91.0,6.0,2.0,0.482,0.515
18,91.0,7.0,0.0,0.868,0.995
19,91.0,7.0,1.0,0.58,0.735
20,91.0,7.0,2.0,0.48,0.525
21,91.0,8.0,0.0,0.874,0.99
22,91.0,8.0,1.0,0.614,0.735
23,91.0,8.0,2.0,0.49,0.53
24,91.0,9.0,0.0,0.88,0.985
25,91.0,9.0,1.0,0.692,0.75
26,91.0,9.0,2.0,0.512,0.515
27,91.0,10.0,0.0,0.88,0.995
28,91.0,10.0,1.0,0.708,0.765
29,91.0,10.0,2.0,0.516,0.52
30,91.0,11.0,0.0,0.864,0.995
31,91.0,11.0,1.0,0.72,0.78
32,91.0,11.0,2.0,0.528,0.535
33,91.0,12.0,0.0,0.858,0.995
34,91.0,12.0,1.0,0.734,0.8
35,91.0,12.0,2.0,0.534,0.53
36,91.0,13.0,0.0,0.86,1.0
37,91.0,13.0,1.0,0.74,0.775
38,91.0,13.0,2.0,0.532,0.575
39,91.0,14.0,0.0,0.846,1.0
40,91.0,14.0,1.0,0.754,0.78
41,91.0,14.0,2.0,0.542,0.6
42,91.0,15.0,0.0,0.824,1.0
43,91.0,15.0,1.0,0.776,0.8
44,91.0,15.0,2.0,0.54,0.63
45,91.0,16.0,0.0,0.8,0.995
46,91.0,16.0,1.0,0.796,0.835
47,91.0,16.0,2.0,0.536,0.645
48,91.0,17.0,0.0,0.804,0.99
49,91.0,17.0,1.0,0.788,0.805
50,91.0,17.0,2.0,0.556,0.63
51,91.0,18.0,0.0,0.768,0.98
52,91.0,18.0,1.0,0.808,0.8
53,91.0,18.0,2.0,0.576,0.675
54,91.0,19.0,0.0,0.762,0.97
55,91.0,19.0,1.0,0.814,0.8
56,91.0,19.0,2.0,0.582,0.66
57,91.0,20.0,0.0,0.738,0.96
58,91.0,20.0,1.0,0.826,0.77
59,91.0,20.0,2.0,0.606,0.675
60,91.0,21.0,0.0,0.738,0.98
61,91.0,21.0,1.0,0.846,0.77
62,91.0,21.0,2.0,0.63,0.67
63,91.0,22.0,0.0,0.75,1.0
64,91.0,22.0,1.0,0.85,0.79
65,91.0,22.0,2.0,0.618,0.635
66,91.0,23.0,0.0,0.74,0.99
67,91.0,23.0,1.0,0.852,0.84
68,91.0,23.0,2.0,0.584,0.635
69,91.0,24.0,0.0,0.696,0.985
70,91.0,24.0,1.0,0.888,0.885
71,91.0,24.0,2.0,0.576,0.67
72,91.0,25.0,0.0,0.66,0.99
73,91.0,25.0,1.0,0.928,0.935
74,91.0,25.0,2.0,0.584,0.68
75,91.0,26.0,0.0,0.66,0.99
76,91.0,26.0,1.0,0.928,0.965
77,91.0,26.0,2.0,0.564,0.645
78,91.0,27.0,0.0,0.638,0.975
79,91.0,27.0,1.0,0.934,0.97
80,91.0,27.0,2.0,0.566,0.665
81,91.0,28.0,0.0,0.64,0.99
82,91.0,28.0,1.0,0.948,0.99
83,91.0,28.0,2.0,0.556,0.66
84,91.0,29.0,0.0,0.636,0.985
85,91.0,29.0,1.0,0.948,0.985
86,91.0,29.0,2.0,0.556,0.67
87,91.0,30.0,0.0,0.632,0.98
88,91.0,30.0,1.0,0.952,0.99
89,91.0,30.0,2.0,0.568,0.69
90,91.0,31.0,0.0,0.626,0.97
91,91.0,31.0,1.0,0.95,0.995
92,91.0,31.0,2.0,0.566,0.69
93,91.0,32.0,0.0,0.612,0.945
94,91.0,32.0,1.0,0.944,0.995
95,91.0,32.0,2.0,0.58,0.68
96,91.0,33.0,0.0,0.588,0.895
97,91.0,33.0,1.0,0.928,0.99
98,91.0,33.0,2.0,0.592,0.685
99,91.0,34.0,0.0,0.568,0.87
100,91.0,34.0,1.0,0.928,0.99
101,91.0,34.0,2.0,0.632,0.715
102,91.0,35.0,0.0,0.528,0.805
103,91.0,35.0,1.0,0.912,0.99
104,91.0,35.0,2.0,0.66,0.725
105,91.0,36.0,0.0,0.498,0.74
106,91.0,36.0,1.0,0.894,1.0
107,91.0,36.0,2.0,0.686,0.73
108,91.0,37.0,0.0,0.5,0.735
109,91.0,37.0,1.0,0.888,1.0
110,91.0,37.0,2.0,0.68,0.715
111,91.0,38.0,0.0,0.494,0.705
112,91.0,38.0,1.0,0.878,1.0
113,91.0,38.0,2.0,0.674,0.695
114,91.0,39.0,0.0,0.486,0.67
115,91.0,39.0,1.0,0.878,1.0
116,91.0,39.0,2.0,0.674,0.695
117,91.0,40.0,0.0,0.484,0.64
118,91.0,40.0,1.0,0.88,1.0
119,91.0,40.0,2.0,0.68,0.7
120,91.0,41.0,0.0,0.5,0.645
121,91.0,41.0,1.0,0.892,1.0
122,91.0,41.0,2.0,0.688,0.73
123,91.0,42.0,0.0,0.502,0.61
124,91.0,42.0,1.0,0.898,1.0
125,91.0,42.0,2.0,0.694,0.745
126,91.0,43.0,0.0,0.498,0.665
127,91.0,43.0,1.0,0.902,1.0
128,91.0,43.0,2.0,0.698,0.75
129,91.0,44.0,0.0,0.5,0.71
130,91.0,44.0,1.0,0.9,1.0
131,91.0,44.0,2.0,0.7,0.75
132,91.0,45.0,0.0,0.5,0.65
133,91.0,45.0,1.0,0.9,1.0
134,91.0,45.0,2.0,0.7,0.75
135,91.0,46.0,0.0,0.5,0.59
136,91.0,46.0,1.0,0.9,1.0
