Rank1,Rank2,Rank3,Rank4,Alg,Prob,Q,PC
1,2,6,3,CMAES,F10,1,1
1,2,9,3,CMAES,F10,1,2
1,2,9,4,CMAES,F10,1,3
1,2,6,3,CMAES,F10,2,1
1,2,3,9,CMAES,F10,2,2
1,2,9,4,CMAES,F10,2,3
3,1,6,2,CMAES,F10,3,1
1,3,2,7,CMAES,F10,3,2
2,1,7,5,CMAES,F10,3,3
3,10,6,2,CMAES,F10,4,1
3,7,8,9,CMAES,F10,4,2
4,7,9,3,CMAES,F10,4,3
1,6,4,2,DE,F10,1,1
1,2,4,8,DE,F10,1,2
1,2,9,4,DE,F10,1,3
1,6,4,2,DE,F10,2,1
1,2,8,4,DE,F10,2,2
1,2,9,8,DE,F10,2,3
1,3,6,8,DE,F10,3,1
1,2,3,8,DE,F10,3,2
1,2,3,8,DE,F10,3,3
3,6,5,4,DE,F10,4,1
3,6,2,8,DE,F10,4,2
3,2,1,6,DE,F10,4,3
1,2,9,6,GA,F10,1,1
1,2,9,6,GA,F10,1,2
1,9,2,8,GA,F10,1,3
2,1,9,6,GA,F10,2,1
2,1,9,6,GA,F10,2,2
1,9,8,2,GA,F10,2,3
2,9,4,6,GA,F10,3,1
2,4,5,6,GA,F10,3,2
9,8,2,4,GA,F10,3,3
2,3,7,10,GA,F10,4,1
3,2,7,5,GA,F10,4,2
3,2,7,8,GA,F10,4,3
1,9,2,6,PSO,F10,1,1
1,9,6,10,PSO,F10,1,2
1,9,8,10,PSO,F10,1,3
1,9,2,6,PSO,F10,2,1
1,9,6,10,PSO,F10,2,2
1,9,8,10,PSO,F10,2,3
1,2,9,6,PSO,F10,3,1
1,9,6,10,PSO,F10,3,2
1,9,8,10,PSO,F10,3,3
3,2,7,5,PSO,F10,4,1
3,7,2,5,PSO,F10,4,2
7,5,8,3,PSO,F10,4,3
6,1,2,3,CMAES,F11,1,1
10,9,7,3,CMAES,F11,1,2
7,10,9,4,CMAES,F11,1,3
6,1,2,3,CMAES,F11,2,1
10,9,7,3,CMAES,F11,2,2
7,10,9,4,CMAES,F11,2,3
2,1,6,3,CMAES,F11,3,1
10,9,7,8,CMAES,F11,3,2
7,10,9,3,CMAES,F11,3,3
2,1,6,3,CMAES,F11,4,1
10,5,9,4,CMAES,F11,4,2
5,7,4,9,CMAES,F11,4,3
2,6,1,8,DE,F11,1,1
2,6,1,9,DE,F11,1,2
6,1,2,9,DE,F11,1,3
2,6,1,8,DE,F11,2,1
2,6,1,9,DE,F11,2,2
6,1,2,9,DE,F11,2,3
2,1,6,8,DE,F11,3,1
2,6,1,8,DE,F11,3,2
6,1,2,4,DE,F11,3,3
2,1,6,8,DE,F11,4,1
2,8,6,1,DE,F11,4,2
6,1,2,8,DE,F11,4,3
2,3,5,1,GA,F11,1,1
3,2,8,6,GA,F11,1,2
10,9,2,8,GA,F11,1,3
2,3,5,1,GA,F11,2,1
3,2,8,6,GA,F11,2,2
10,9,2,8,GA,F11,2,3
2,3,5,1,GA,F11,3,1
3,2,8,6,GA,F11,3,2
10,9,2,8,GA,F11,3,3
2,3,5,1,GA,F11,4,1
3,2,8,6,GA,F11,4,2
10,2,8,9,GA,F11,4,3
8,6,1,3,PSO,F11,1,1
9,1,8,4,PSO,F11,1,2
3,4,6,9,PSO,F11,1,3
8,6,1,3,PSO,F11,2,1
9,1,8,4,PSO,F11,2,2
3,4,6,9,PSO,F11,2,3
8,6,1,3,PSO,F11,3,1
9,1,8,4,PSO,F11,3,2
3,4,6,9,PSO,F11,3,3
2,1,8,6,PSO,F11,4,1
2,9,1,8,PSO,F11,4,2
4,2,6,3,PSO,F11,4,3
1,2,6,3,CMAES,F12,1,1
3,9,1,7,CMAES,F12,1,2
8,5,9,10,CMAES,F12,1,3
2,6,1,3,CMAES,F12,2,1
3,4,9,1,CMAES,F12,2,2
5,8,7,4,CMAES,F12,2,3
2,3,1,9,CMAES,F12,3,1
4,3,9,8,CMAES,F12,3,2
4,8,5,7,CMAES,F12,3,3
2,9,6,1,CMAES,F12,4,1
4,9,3,8,CMAES,F12,4,2
4,8,5,9,CMAES,F12,4,3
6,1,3,2,DE,F12,1,1
2,6,1,9,DE,F12,1,2
8,6,2,1,DE,F12,1,3
6,1,3,2,DE,F12,2,1
2,6,1,3,DE,F12,2,2
6,2,8,3,DE,F12,2,3
3,1,6,2,DE,F12,3,1
2,6,3,1,DE,F12,3,2
4,5,8,3,DE,F12,3,3
3,1,4,6,DE,F12,4,1
9,2,4,7,DE,F12,4,2
4,8,5,9,DE,F12,4,3
6,2,1,3,GA,F12,1,1
6,1,2,3,GA,F12,1,2
6,1,3,2,GA,F12,1,3
6,2,1,3,GA,F12,2,1
6,2,1,3,GA,F12,2,2
6,3,2,1,GA,F12,2,3
2,6,3,1,GA,F12,3,1
4,5,3,7,GA,F12,3,2
4,5,8,7,GA,F12,3,3
3,6,1,2,GA,F12,4,1
4,5,8,9,GA,F12,4,2
4,5,8,9,GA,F12,4,3
1,2,6,3,PSO,F12,1,1
3,6,9,2,PSO,F12,1,2
7,3,9,10,PSO,F12,1,3
1,2,6,3,PSO,F12,2,1
3,5,7,6,PSO,F12,2,2
7,3,5,10,PSO,F12,2,3
1,2,3,6,PSO,F12,3,1
4,5,7,8,PSO,F12,3,2
5,7,8,4,PSO,F12,3,3
2,1,3,6,PSO,F12,4,1
4,5,7,8,PSO,F12,4,2
5,7,8,4,PSO,F12,4,3
1,6,2,3,CMAES,F13,1,1
5,6,10,9,CMAES,F13,1,2
8,4,7,5,CMAES,F13,1,3
6,1,10,2,CMAES,F13,2,1
5,4,9,8,CMAES,F13,2,2
8,5,4,9,CMAES,F13,2,3
3,6,2,10,CMAES,F13,3,1
5,9,4,8,CMAES,F13,3,2
8,4,5,9,CMAES,F13,3,3
6,2,1,5,CMAES,F13,4,1
5,6,9,4,CMAES,F13,4,2
5,8,9,4,CMAES,F13,4,3
6,1,2,3,DE,F13,1,1
2,3,1,4,DE,F13,1,2
2,1,4,8,DE,F13,1,3
6,1,10,2,DE,F13,2,1
2,3,9,8,DE,F13,2,2
2,8,10,6,DE,F13,2,3
6,10,1,5,DE,F13,3,1
9,5,8,4,DE,F13,3,2
9,8,2,5,DE,F13,3,3
6,5,1,2,DE,F13,4,1
5,2,9,8,DE,F13,4,2
5,2,9,8,DE,F13,4,3
6,1,2,3,GA,F13,1,1
2,1,6,3,GA,F13,1,2
2,4,6,10,GA,F13,1,3
6,2,1,3,GA,F13,2,1
2,8,9,5,GA,F13,2,2
10,4,2,9,GA,F13,2,3
6,10,3,2,GA,F13,3,1
9,8,7,5,GA,F13,3,2
10,9,4,7,GA,F13,3,3
2,6,10,3,GA,F13,4,1
8,9,7,10,GA,F13,4,2
8,9,10,7,GA,F13,4,3
1,2,6,3,PSO,F13,1,1
1,9,2,6,PSO,F13,1,2
9,2,7,5,PSO,F13,1,3
2,1,6,3,PSO,F13,2,1
5,7,10,8,PSO,F13,2,2
7,5,10,9,PSO,F13,2,3
2,3,10,6,PSO,F13,3,1
5,10,8,7,PSO,F13,3,2
7,10,8,5,PSO,F13,3,3
6,2,10,3,PSO,F13,4,1
5,8,10,7,PSO,F13,4,2
5,8,10,7,PSO,F13,4,3
1,2,6,3,CMAES,F14,1,1
9,8,1,2,CMAES,F14,1,2
10,9,2,7,CMAES,F14,1,3
6,1,2,3,CMAES,F14,2,1
8,5,10,7,CMAES,F14,2,2
10,4,7,2,CMAES,F14,2,3
6,10,2,1,CMAES,F14,3,1
